UT,TIME,ALTITUDE,APOAPSIS,PERIAPSIS,INCLINATION,S VELOCITY,O VELOCITY,THRUST,MASS,IDEAL PITCH,PITCH,GRAVITY,STAGE,S1 FUEL,S1 OX,S2 FUEL,S2 OX
3006543.42176012,1.88000000175089,94.1089448886923,116.755472568213,0,0.0972304243321644,18.5828445134079,175.956699058287,281.438629150391,14.5222663879395,89.8498858209837,89.9030250965213,9.8069233613691,5,96.4%,96.4%,100%,100%
3006543.46176012,1.92000000178814,94.8636982635362,118.244803766953,0,0.0972313870663613,19.1550016330565,176.019708637154,281.445343017578,14.5151062011719,89.8469988528126,89.8994759644383,9.80688617118257,5,96.3%,96.3%,100%,100%
3006543.52176012,1.98000000184402,96.0244471686892,120.535946175922,0,0.097231995644425,19.5366276610667,176.062788519862,281.44994354248,14.5103321075439,89.8450252120595,89.8971541796931,9.80686075420854,5,96.2%,96.2%,100%,100%
3006543.56176012,2.02000000188127,96.8173674008576,122.101501029567,0,0.0972326825076607,19.9183978635272,176.106731194714,281.454620361328,14.5055589675903,89.841991215274,89.8937096010103,9.80682169314037,5,96.1%,96.1%,100%,100%
3006543.62176012,2.06000000191852,98.0353854460409,124.507071448141,0,0.0972339212914377,20.4913231727395,176.174265609101,281.461791992188,14.4983987808228,89.8399194795667,89.8914544369973,9.80679502841886,5,96%,96%,100%,100%
3006543.66176012,2.1200000019744,98.8665018033935,126.148976411438,0,0.0972347141865416,20.87345329364,176.220357661713,281.466705322266,14.4936246871948,89.8378084588996,89.8892368329501,9.80676786428784,5,95.9%,95.9%,100%,100%
3006543.70176012,2.16000000201166,99.7129071798408,127.821454459568,0,0.0972359495767059,21.446908019765,176.291109169497,281.474212646484,14.4864645004272,89.8345682241639,89.8859708023774,9.80672618124148,5,95.9%,95.8%,100%,100%
3006543.76176012,2.22000000206754,101.011197002139,130.387510406785,0,0.0972366998923053,21.8293765040506,176.339346630031,281.479339599609,14.4816913604736,89.8323589151913,89.8838310560916,9.8066977677875,5,95.8%,95.8%,100%,100%
3006543.80176012,2.26000000210479,101.895849787514,132.136475094245,0,0.0972374353906391,22.2119791017718,176.388440093211,281.484558105469,14.4769172668457,89.8289711403488,89.8806505740929,9.8066542100249,5,95.7%,95.7%,100%,100%
3006543.86176012,2.30000000214204,103.251535364077,134.817369507276,0,0.0972385474636476,22.7861342305042,176.463688562502,281.492523193359,14.4697570800781,89.8266633820621,89.8785635152717,9.80662454612057,5,95.6%,95.6%,100%,100%
